name,frequency
Sybil,2349
Morton,2347
Winnie,2343
Austin,2336
Pedro,2326
Odessa,2301
Preston,2283
Lou,2268
Adolph,2262
Sammie,2255
Maude,2249
Neva,2244
Lenore,2239
Neal,2238
Adam,2236
Josie,2235
Roscoe,2233
Mollie,2231
Odell,2225
Benny,2220
Avis,2208
Zelma,2201
Garland,2199
Loraine,2166
Reginald,2137
Cornelius,2125
Cecile,2114
Ruthie,2110
Allie,2110
Dollie,2110
Rosella,2110
Millard,2108
Charley,2100
Dallas,2098
Edmond,2078
Joel,2066
Jasper,2065
Wilda,2061
Cynthia,2060
Letha,2054
Reuben,2051
Conrad,2045
Pearlie,2040
Woodrow,2022
Cornelia,2019
Dolly,2006
Dixie,1981
Claudia,1970
Lavern,1966
Bernadette,1964
Lily,1958
Millie,1940
Alyce,1939
Wade,1926
Stuart,1919
Aurora,1917
Maynard,1917
Jacquelyn,1915
Hannah,1912
Mona,1911
Will,1911
Robbie,1905
Consuelo,1868
Nelda,1864
Alva,1864
Dave,1858
Elton,1840
Moses,1836
Christina,1832
Rocco,1830
Elvin,1829
Grant,1828
Luis,1822
Alfonso,1818
Mitchell,1809
Edythe,1797
Ophelia,1782
Wilmer,1782
Polly,1776
Merlin,1776
Hope,1757
Aline,1753
Clair,1749
Madge,1746
Corine,1736
Thurman,1735
Lora,1734
Steven,1730
Raul,1725
Cleveland,1723
Sheldon,1708
Delmar,1705
Berniece,1700
Lorna,1700
Florine,1698
Russel,1680
Leila,1671
Harrison,1668
Nola,1657
Reva,1656
Monroe,1646
Earnestine,1642
Antonia,1641
Eliza,1640
Lessie,1631
Callie,1625
Patty,1620
Helena,1615
Dorris,1611
Emanuel,1603
Marcus,1601
Corrine,1592
Amanda,1586
Alonzo,1582
Margarita,1580
Maryann,1579
Hester,1578
Simon,1578
Wilburn,1574
Vito,1574
Beth,1570
Diana,1568
Lorena,1557
Timothy,1556
Gail,1555
Armand,1554
Teddy,1547
Lavonne,1543
Leatrice,1533
Elijah,1527
Lionel,1527
Bertie,1523
Iona,1523
Salvador,1523
Adelaide,1505
Lilly,1498
Gus,1496
Roberto,1482
Kermit,1474
Jake,1473
Ned,1473
Clare,1467
Jaunita,1460
Philomena,1457
Georgie,1451
Claud,1449
Melva,1445
Lelia,1444
Randolph,1444
Buford,1442
Mercedes,1441
Christopher,1438
Ilene,1433
Roslyn,1417
Delia,1414
Judy,1413
Kay,1411
Weldon,1410
Adrian,1409
Clark,1400
Queen,1390
Jannie,1389
Sophia,1389
Dona,1388
Wiley,1386
Madelyn,1374
Merrill,1368
Nona,1366
Gussie,1360
Sanford,1358
Elmo,1357
Rudy,1357
Clement,1357
Renee,1345
Andy,1345
Molly,1330
Ed,1330
Hollis,1326
Betsy,1318
Leota,1316
Stewart,1316
Elouise,1315
Marianne,1312
Allene,1307
Dortha,1307
Norris,1304
Maudie,1296
Travis,1292
Lorine,1285
Coy,1277
Alphonse,1276
Wilford,1275
Louella,1266
Solomon,1265
Johanna,1257
Forest,1251
Maurine,1250
Cyril,1250
Gilda,1244
Carmine,1242
Emory,1241
Earle,1239
Eli,1237
Pansy,1229
Dessie,1228
Jess,1222
Sterling,1218
Ester,1203
Alicia,1203
Marlin,1199
Ione,1195
Noah,1195
Alfredo,1195
Vern,1191
Terry,1185
Basil,1183
Winona,1178
Jackson,1177
Emery,1172
Rolland,1169
Earlene,1167
Pasquale,1167
Lamar,1166
Bruno,1166
Thaddeus,1164
Roxie,1162
Roman,1161
Joanna,1160
Armando,1160
Marietta,1157
Marjory,1147
Ward,1144
Iola,1141
Emogene,1141
Barney,1131
Alene,1123
Royce,1123
Levi,1123
Tillie,1115
Beryl,1114
Winston,1110
Althea,1107
Darwin,1106
Gabriel,1106
Truman,1105
Elena,1100
Zelda,1095
Oma,1084
Herschel,1084
Zella,1076
Gregory,1075
Orval,1072
Evangeline,1071
Ima,1070
Miles,1069
Gale,1067
Miguel,1066
Manuela,1061
Retha,1057
Winfred,1053
Van,1053
Syble,1050
Katharine,1050
Rene,1049
Isabell,1048
Milford,1048
Hershel,1044
Angie,1042
Faith,1038
Mervin,1032
Lorenzo,1030
Harris,1023
Odis,1018
Leora,1016
Esperanza,1015
Georgette,1008
Delphine,1008
Juana,1007
Augusta,1006
Petra,1006
Monica,1003
Leta,1002
Silas,998
Millicent,990
Darrel,990
Edwina,989
Birdie,988
Beverley,987
Ardis,987
Santos,987
Diane,982
Rosalind,982
Rafael,981
Sammy,977
Pablo,972
Cletus,971
Noel,970
Carole,968
Saul,968
Rubye,966
Jeff,966
Maureen,961
Hallie,961
Rodolfo,954
Josefina,949
Emerson,949
Vada,945
Lenard,945
Stephanie,944
Randall,936
Buddy,931
Delma,928
Dudley,928
Doreen,927
Julie,926
Ellsworth,926
Anton,926
Isabella,924
Verda,921
Francisca,921
Eric,917
Wilhelmina,916
Normand,915
Madeleine,911
Laurel,910
Delmer,910
Denver,910
Linwood,910
Claudine,906
Bertram,904
Alfreda,902
Erna,902
Augustine,897
Ulysses,897
Sol,897
Dorotha,896
Booker,896
Elliott,893
Bonita,890
Shirlee,885
Harriette,881
Wilton,879
Jenny,877
Freeman,877
Bud,875
Sheila,873
Buster,871
Royal,858
Vernice,856
Myrna,851
Elias,847
Alvina,846
Kate,844
Mozelle,844
Elda,842
Myrtis,841
Hal,841
Enrique,835
Margret,833
Pearline,831
Tessie,828
Valeria,824
Arleen,823
Vernell,820
Everette,820
Dovie,818
Rosalyn,817
Alberto,817
Camille,811
Hiram,810
Filomena,809
Arturo,808
Hellen,807
Houston,804
Claudie,791
Germaine,790
Fernando,789
Riley,788
Scott,788
Lucia,787
Verla,783
Spencer,782
Cruz,781
Rae,780
Twila,777
Aurelia,775
Danny,775
Ferdinand,770
Valerie,768
Belva,768
Hortense,767
Emilio,767
Olen,764
Columbus,764
Elise,762
Enid,760
Garnet,758
Elvera,751
Maryjane,751
Lucinda,750
Doretha,750
Marilynn,750
Theda,749
Lue,747
Hoyt,746
Edsel,743
Burl,741
Luke,739
Carlo,739
Yvette,738
Margarette,736
Elisabeth,734
Velda,732
Lyman,732
Dawn,730
Nolan,729
Artie,725
Gertie,724
Oleta,723
Lauretta,722
Adell,721
Socorro,721
Omer,720
Vida,719
Phoebe,719
Domingo,718
Sandra,716
Hector,716
Tomas,716
Lettie,715
Freida,715
Frederic,713
Ouida,712
Ernesto,711
Rosalee,709
Rowena,707
Hobert,706
Mathew,702
Justine,700
Donnie,698
Augustus,696
Floy,693
Alden,693
Milo,689
Ava,688
Louisa,688
Felipe,688
Mazie,686
Nita,683
Mayme,681
Isiah,680
Hyman,679
Arlie,678
Magdalene,674
Lura,673
Rosario,673
Ignacio,671
Lavon,670
Jayne,669
Vance,668
Julio,666
Casimir,664
Glenda,663
Chris,663
Emile,662
Orlando,661
Fanny,659
Myrtice,656
Gilberto,656
Anderson,655
Otha,654
Janette,652
Major,652
Sonia,650
Foster,649
Nickolas,649
Jefferson,647
Micheal,647
Linnie,642
Ofelia,640
Theodora,639
Angelita,639
Trinidad,639
Ricardo,639
Veda,638
Marcel,638
Clay,636
Noble,636
Rhea,635
Alpha,633
Dalton,633
Vesta,631
Aloysius,631
Dana,630
Hugo,630
Blanch,628
Elroy,628
Davis,627
Florene,626
Cassie,619
Gretchen,619
Minerva,618
Marylou,618
Catharine,615
Marlys,615
Domenic,614
Fletcher,612
Dewitt,612
Lucien,611
Novella,610
Maxie,608
Juliette,607
Santiago,604
Janis,603
Billye,602
Emilia,602
Newton,601
Morgan,601
Carolina,597
Angel,597
Albertha,596
Treva,595
Agatha,594
Sebastian,594
Blaine,593
Mckinley,592
Roderick,592
Abe,590
Ezra,589
Junius,587
Phil,586
Aldo,585
Katheryn,584
Ambrose,577
Isaiah,574
Celestine,571
Reta,571
Verne,569
Georgiana,567
Raymon,567
Jules,565
Lona,563
Zola,562
Ursula,562
Theo,560
Easter,560
Wilber,560
Era,558
Adrienne,558
Antonette,558
Talmadge,558
Idella,557
Hettie,556
Olin,556
Al,556
Garnett,555
Carrol,554
Magnolia,553
Marvel,553
Elisa,552
Ivy,550
Carmel,549
Tina,549
Lacy,548
Charline,546
Gwen,546
Gaylord,546
Estell,544
Ardith,544
Kelly,544
Larue,542
Ona,542
Una,539
Mittie,537
Leonora,537
Merton,536
Elsa,534
Andres,534
Vincenza,532
Ivory,531
Albina,531
Concepcion,530
Andrea,525
Leone,523
Madonna,522
Gayle,519
Adela,517
Jonnie,515
Shelby,515
Harland,515
