name,frequency
Lorna,251
Major,251
Corrine,250
Lucia,247
Lorine,246
Elvera,245
Easter,244
Ursula,244
Casimir,244
Albertha,243
Evangeline,241
Suzanne,241
Aurelia,240
Freeman,240
Gustave,240
Ambrose,240
Thaddeus,239
Zora,238
Tressie,238
Emilie,238
Truman,237
Wilford,237
Melva,236
Marcia,236
Lennie,235
Alene,235
Anastasia,235
Gabriel,234
Beverly,233
Elias,233
Mandy,232
Micheal,232
Claudie,231
Belva,231
Spencer,231
Lucius,231
Milo,231
Rowena,230
Noel,230
Gilda,229
Houston,228
Ulysses,227
Enid,226
Scott,226
Benny,226
Clementine,223
Omer,223
Milford,222
Miles,221
Veda,220
Darrell,220
Pinkie,218
Fletcher,218
Hiram,218
Israel,218
Retha,217
Delmar,217
Bertram,217
Dortha,216
Mina,216
Christian,216
Zola,215
Zula,215
Novella,213
Garnett,212
Jackson,212
Valerie,210
Maxwell,210
Riley,209
Jacqueline,208
Hedwig,207
Rubin,207
Abbie,206
Delma,206
Foster,206
Elliott,206
Hershel,206
Felicia,205
Dudley,205
Junius,205
Marianne,204
Billy,204
Donnie,202
Hope,202
Millicent,202
Van,202
Olin,200
Madie,199
Olen,199
Noble,199
Margret,198
Norris,198
Celeste,197
Vance,197
Lorenzo,196
Harris,196
Myrtie,195
Magdalene,195
Miguel,195
Jimmy,194
Antonette,192
Sanford,191
Ellie,190
Vernie,188
Delphia,188
Gail,187
Mozell,186
Winston,186
Otha,184
Freida,184
Vincenza,183
Merlin,183
Edd,182
Josefina,181
Emilia,181
Santos,181
Morgan,180
Clay,180
Hulda,179
Eleanora,179
Crystal,179
Emmie,178
Lacy,178
Therese,178
Audie,177
Cordelia,177
Adela,177
Theo,177
Joy,176
Pat,175
Waldo,175
Savannah,174
Macie,174
Edwina,174
Roslyn,174
Lamar,174
Haywood,174
Tomas,174
Kattie,173
Octavia,172
Dewitt,172
Ike,172
Newton,172
Lyman,172
Valentine,172
Elouise,171
Audra,171
Pattie,171
Alfredo,171
Jefferson,170
Eric,170
Ludie,169
Josefa,169
Rubie,168
Rosalee,168
Antone,168
Augustine,166
Hoyt,166
Mervin,166
Rosia,165
Leonora,165
Meta,165
Georgiana,165
Nolan,165
Mavis,164
Velda,163
Maxie,162
Joanna,162
Mortimer,162
Ossie,161
Rolland,161
Bud,160
Berta,159
Leatha,159
Esta,159
Evalyn,159
Marvel,159
King,159
Domenic,159
Ima,158
Porter,158
Guido,158
Vallie,157
Tomasa,157
Jo,156
Coleman,156
Rosario,155
Cletus,155
Jeremiah,153
Romeo,153
Carlo,153
Corene,152
Alden,152
Tina,151
Delphine,151
Denver,151
Carmel,150
Cathryn,150
Burl,150
Velva,149
Marjory,149
Royal,149
Gaetano,148
Ouida,146
Buck,146
Dick,146
Emilio,146
Gregory,146
Garfield,145
Malinda,144
Cruz,144
Benedict,144
Pablo,144
Vernice,143
Wilton,143
Joshua,143
Armando,143
Alois,143
Bulah,142
Chloe,142
Mallie,142
Angelita,142
Kelly,142
Hal,141
Kitty,140
Alberto,140
Chris,140
Santiago,140
Lilyan,139
Marlin,139
Jettie,138
Jenny,137
Lavern,137
Rafael,137
Pearline,136
Prince,136
Luvenia,136
Versie,136
Taylor,136
Oren,136
Arlie,135
Carolina,135
Duane,135
Clemmie,134
Lavina,134
Ezra,134
Lyda,133
Renee,133
Napoleon,133
Concepcion,132
Walker,132
Casimer,132
Alfreda,131
Lina,130
Margarette,129
Verona,129
Maryann,129
Junior,129
Lucien,129
Charlene,128
Rosina,128
Eloisa,128
Bridget,128
Elmira,127
Gustav,127
Almeda,126
Early,126
Arther,126
Raul,126
Americo,126
Nickolas,126
Alvis,126
Andrea,125
Winfred,125
Sebastian,125
Ignatius,125
Rene,125
Felipe,125
Adelina,124
Annabel,124
Winnifred,124
Hildegarde,124
Orlando,124
Regis,124
Charity,123
Elzie,123
Lucious,123
Shelby,123
Nelda,122
Tennie,121
Diane,121
Emmitt,121
Myrna,120
Sofia,120
Leonor,120
Andres,120
Gregorio,120
Queenie,119
Dee,119
Jaunita,118
Salvador,117
Raleigh,117
Florida,116
Justine,116
Theron,116
Roberto,116
Elisa,115
Yvette,115
Dorris,114
Alda,114
Rosamond,114
Rosevelt,114
Isaiah,114
Claudine,112
Earnestine,112
