name,frequency
Pasquale,1666
Mayme,1647
Hallie,1646
Zella,1635
Tommy,1626
Irwin,1625
Birdie,1622
Thaddeus,1622
Elisabeth,1620
Joy,1617
Clare,1609
Mona,1604
Althea,1603
Buford,1588
Stuart,1588
Paula,1587
Duane,1587
Ellsworth,1587
Adrian,1578
Madelyn,1577
Abe,1577
Francisco,1576
Earline,1574
Wilhelmina,1569
Reginald,1567
Pansy,1566
Rodney,1561
Vito,1561
Beryl,1559
Rubye,1558
Ned,1558
Christopher,1556
Darrell,1554
Jannie,1551
Lupe,1540
Eli,1538
Isabell,1537
Roman,1528
Isadore,1527
Georgie,1525
Nona,1518
Merrill,1514
Timothy,1508
Delmar,1504
Polly,1500
Wilburn,1500
Theda,1494
Randolph,1494
Ramon,1490
Garnet,1484
Pedro,1481
Verda,1473
Noah,1467
Cynthia,1460
Buster,1452
Emory,1448
Coy,1446
Wiley,1444
Mercedes,1441
Vern,1440
Harriette,1410
Mozelle,1403
Wilford,1403
Ward,1399
Catharine,1395
Dovie,1393
Isabella,1390
Herschel,1389
Elda,1385
Glenna,1380
Monica,1380
Alfonso,1379
Louella,1377
Merlin,1369
Lavern,1368
Ferdinand,1366
Levi,1360
Stewart,1360
Lionel,1356
Allene,1355
Saul,1346
Basil,1346
Marilyn,1341
Hollis,1341
Leora,1335
Travis,1331
Carmine,1327
Emerson,1324
Queen,1320
Quentin,1319
Marcia,1312
Gertie,1305
Zelda,1305
Sterling,1302
Weldon,1302
Truman,1298
Leone,1297
Jeff,1289
Dick,1285
Vesta,1274
Benny,1271
Meyer,1271
Melva,1262
Silas,1262
Ferne,1254
Marietta,1252
Bella,1247
Casimir,1247
Gretchen,1230
Lorna,1218
Yetta,1212
Vada,1203
Lorine,1201
Fanny,1199
Rae,1197
Odis,1194
Elise,1191
Valeria,1191
Miles,1190
Oleta,1189
Albina,1189
Leta,1176
Aurora,1175
Ester,1173
Alene,1173
Agatha,1171
Hortense,1169
Mathew,1167
Elvera,1150
Aloysius,1150
Milford,1149
Jackson,1136
Artie,1133
Milo,1131
Vida,1127
Sanford,1126
Lucinda,1121
Frederic,1120
Jimmy,1117
Harris,1111
Charlene,1109
Lura,1107
Marjory,1107
Floy,1104
Cassie,1097
Winona,1094
Suzanne,1092
Consuelo,1090
Louisa,1080
Rosalind,1078
Dortha,1075
Lauretta,1075
Hiram,1074
Margarita,1073
Linnie,1072
Ruthie,1071
Evangeline,1071
Angie,1070
Hugo,1069
Micheal,1068
Filomena,1064
Minerva,1058
Alpha,1055
Isidore,1054
Elsa,1053
Trinidad,1050
Enid,1049
Omer,1047
Pat,1042
Sydney,1042
Norris,1041
Retha,1038
Winston,1038
Freeman,1036
Winfred,1029
Camille,1027
Mervin,1022
Hershel,1019
Gabriel,1019
Rowena,1017
Van,1014
Maud,1013
Ambrose,1008
Noel,1005
Lettie,1003
Orpha,1002
Houston,1001
Julie,1000
Phoebe,998
Evalyn,996
Ivy,987
Ocie,983
Spencer,982
Deloris,981
Foster,980
Myrtis,977
Adell,976
Claudie,971
Madeleine,967
Ava,966
Lona,963
Teddy,962
Hettie,960
Dudley,958
Elena,956
Cletus,956
Dorotha,954
Rolland,954
Valerie,953
Roslyn,953
Corrine,948
Diana,947
Jaunita,946
Dorris,946
Una,944
Mathilda,942
Sibyl,941
Manuela,941
Luke,936
Maybelle,933
Bertram,932
Blanch,929
Noble,929
Major,929
Luis,924
Olen,923
Era,918
Vance,918
Columbus,916
Jo,915
Augustus,914
Darlene,909
Newton,908
Ulysses,905
Marianne,904
Ona,898
Estell,897
Lulu,894
Rhea,894
Freida,893
Royal,887
Petra,886
Magdalene,881
Lamar,879
Riley,876
Scott,873
Sigmund,873
Elouise,869
Hedwig,868
Armando,867
Linwood,866
Emilie,864
Eric,861
Lyman,860
Mazie,856
Mose,854
Magnolia,850
Edwina,849
Denver,849
Alfreda,845
Olin,845
Veda,843
Anderson,841
Salvador,838
Mittie,837
Vernice,836
Velda,831
Gregory,828
Zola,827
Lorenzo,823
Juliette,821
Emile,821
Aurelia,820
Margret,811
Gustave,810
Golda,806
Marlin,806
Katheryn,803
Hoyt,802
Lue,801
Nelle,796
Myrtice,796
Maryann,794
Morgan,793
Randall,792
Arlie,790
Elliott,789
Orlando,789
Augustine,786
Antonette,784
Wilton,783
Jefferson,780
Everette,778
Hal,778
Alden,777
Otha,774
Joanna,773
Belva,773
Nelda,767
Anastasia,767
Burl,765
Verne,763
Benedict,762
Lucia,758
Elias,758
Claudine,755
Waldo,755
Juana,754
Christian,754
Valentine,753
Bud,752
Eleanora,748
Fletcher,748
Verla,747
Theo,747
Syble,747
Germaine,747
Delma,743
Gilda,739
Dewitt,737
Isiah,736
Adela,735
Florene,731
Edd,730
Jayne,727
Sheldon,726
