name,frequency
Arturo,2498
Sadie,2478
Eula,2461
Judi,2441
Earlene,2440
Jewel,2435
Alfonso,2435
Blanche,2433
Dwayne,2427
Hal,2424
Amanda,2421
Royce,2421
Marilynn,2410
Ernie,2397
Teri,2389
Lorene,2384
Emmett,2371
Eldon,2363
Essie,2354
Ora,2341
Cleveland,2336
Junior,2334
Lionel,2329
Adrian,2316
Alonzo,2308
Crystal,2306
Jeannine,2302
Meredith,2302
Alfredo,2292
Salvador,2275
Katharine,2263
Fernando,2249
Lenore,2240
Stephan,2235
Eugenia,2232
Pearlie,2222
Etta,2219
Edmond,2219
Aubrey,2214
Beulah,2208
Winifred,2200
Spencer,2197
Denny,2197
Rosalyn,2196
Ronny,2190
Marva,2185
Shari,2185
Antonia,2176
Galen,2174
Grover,2168
Maryanne,2155
Nettie,2152
Cornelius,2140
Orville,2120
Harlan,2119
Kristin,2118
Ina,2114
Jolene,2111
Lela,2108
Tracy,2103
Candy,2091
Darwin,2084
Dominic,2077
Carlene,2075
Vaughn,2069
Terrie,2060
Josie,2050
Tanya,2045
Sonia,2039
Earline,2038
Harley,2032
Wilfred,2025
Delois,2021
Janine,2018
Dominick,1996
Marlin,1995
Robyn,1992
Beverley,1991
Ladonna,1990
Rae,1990
Moses,1984
Amos,1977
Opal,1975
Willa,1971
Shannon,1970
Cherry,1960
Dorothea,1957
Lavonne,1946
Dannie,1942
Bernadine,1939
Jana,1932
Lori,1930
Ronda,1926
Debora,1924
Elliott,1924
Rafael,1923
Alison,1920
Maryellen,1909
Jewell,1890
Harriett,1875
Mabel,1869
Ned,1869
Irving,1865
Lizzie,1864
Winston,1855
Marylou,1853
Rodolfo,1847
Addie,1827
Merry,1825
Nita,1817
Lamar,1814
Dorthy,1806
Andre,1802
Elijah,1785
Loyd,1782
Adam,1778
Estelle,1774
Jannie,1771
Al,1736
Ernesto,1733
Linwood,1727
Abraham,1712
Gilda,1710
Heather,1710
Miles,1698
Monty,1695
Nanette,1690
Rocky,1681
Cathryn,1680
Ed,1680
Kitty,1677
Frederic,1677
Clare,1673
Christie,1666
Elena,1659
Vance,1657
Sharlene,1656
Jeanine,1655
Thurman,1649
Barney,1646
Sterling,1644
Enrique,1644
Dolly,1641
Angel,1638
Johanna,1637
Norris,1636
Nona,1633
Rosalinda,1633
Sanford,1626
Murray,1625
Queen,1620
Edwina,1620
Carey,1619
Ola,1608
Lottie,1605
Yvette,1600
Angelina,1597
Georgette,1594
Marta,1591
Heidi,1583
Chuck,1583
Sherrill,1579
Lesley,1575
Kyle,1560
Alberto,1556
Rhoda,1553
Clarice,1552
Ava,1542
Elva,1542
Burton,1536
Kermit,1530
Doug,1521
Elton,1515
Iva,1513
Roslyn,1511
Harrison,1510
Suzan,1503
Fern,1498
Elvira,1492
Sybil,1490
Shelly,1489
Austin,1488
Alphonso,1487
Roscoe,1473
Gabriel,1473
Cornelia,1472
Cleo,1466
Odell,1463
Aurora,1462
Kristina,1462
Angie,1457
Madelyn,1445
Nola,1443
Mollie,1442
Millie,1441
Janelle,1441
Lynnette,1440
Leola,1437
August,1432
Melva,1431
Will,1428
Emanuel,1428
Mavis,1427
Consuelo,1425
Marietta,1422
Emil,1417
Alexis,1408
Julianne,1405
Norbert,1405
Ana,1401
Marcy,1397
Marlys,1397
Suzette,1391
Dewayne,1391
Nikki,1386
Peggie,1384
Christian,1384
Gayla,1376
Cheryle,1373
Cathie,1370
Nan,1369
Lon,1363
Jerri,1353
Dinah,1352
Elwood,1352
Toby,1351
Helena,1349
Arleen,1342
Ingrid,1341
Donny,1337
Jasper,1336
Wiley,1335
Effie,1333
Jess,1332
Margery,1330
Kennith,1329
Simon,1328
Ramiro,1328
Karol,1321
Elliot,1316
Karon,1315
Bridget,1313
Roxie,1308
Dottie,1297
Lucia,1291
Truman,1291
Althea,1288
May,1284
Reuben,1280
Marty,1279
Coleen,1278
Esperanza,1276
Kirby,1255
Lyn,1254
Blaine,1253
Hollis,1248
Pablo,1246
Reynaldo,1241
Cecile,1240
Millard,1239
Jerrold,1236
Jorge,1234
Randi,1229
Elnora,1226
Charmaine,1223
Carolann,1220
Fredric,1218
Gilberto,1215
Freida,1211
Domingo,1206
Rocco,1204
Dollie,1203
Julio,1202
Ruthann,1198
Malinda,1196
Dian,1182
Levi,1181
Nolan,1180
Loraine,1164
Alyce,1162
Jeffry,1160
