name,frequency
Melva,947
Christina,943
Frieda,939
Darwin,938
Alva,928
Matilda,927
Reva,927
Adam,926
Lionel,926
Lily,924
Wilmer,920
Cleveland,909
Kermit,909
Noel,906
Cecile,904
Will,903
Nona,899
Alfredo,892
Grant,889
Monroe,886
Alonzo,886
Ned,883
Reuben,875
Aline,870
Wilburn,868
Allie,866
Antonia,863
Clark,863
Dawn,860
Janis,858
Rocco,855
Mitchell,852
Queen,849
Ophelia,847
Lessie,844
Woodrow,844
Clare,843
Weldon,843
Florine,841
Georgie,838
Corine,835
Gregory,832
Simon,831
Louella,829
Merrill,827
Ilene,826
Maude,824
Faith,823
Elijah,823
Marlys,822
Armando,822
Bertie,821
Beth,818
Eliza,817
Randolph,817
Hollis,810
Wiley,808
Jannie,807
Harrison,807
Christopher,807
Armand,806
Buford,803
Gus,803
Norris,794
Roslyn,790
Marcus,787
Emanuel,782
Julie,777
Andy,777
Lamar,767
Vito,766
Callie,760
Pansy,760
Normand,758
Dorris,757
Miguel,757
Ed,756
Evangeline,750
Helena,750
Iona,744
Jake,744
Ima,743
Johanna,741
Alyce,740
Elouise,737
Hannah,735
Mercedes,724
Russel,722
Carmine,720
Stewart,717
Lilly,716
Rafael,715
Jerald,715
Coy,714
Lorine,712
Glenda,712
Sterling,706
Valerie,698
Rolland,698
Emory,696
Clement,696
Angie,695
Bonita,694
Gabriel,692
Hershel,690
Delphine,689
Amanda,682
Dudley,681
Berniece,676
Rene,675
Gwen,673
Gilda,673
Hope,668
Pablo,667
Ronnie,666
Janette,665
Randall,665
Marietta,664
Gayle,664
Edwina,659
Rodolfo,654
Noah,646
Basil,646
Ricardo,644
Hester,643
Emogene,642
Van,642
Arturo,637
Vern,637
Esperanza,636
Alene,634
Hector,634
Dessie,633
Dortha,633
Winona,632
Leatrice,632
Jenny,631
Elena,630
Levi,626
Wilford,626
Josefina,624
Leota,623
Gale,623
Adrian,622
Roxie,621
Forest,621
Lorena,620
Maudie,617
Madge,617
Beryl,617
Truman,613
Mervin,612
Lorenzo,611
Philomena,610
Eric,609
Retha,608
Jaunita,607
Enrique,603
Petra,602
Ester,600
Huey,599
Earle,599
Barney,597
Ardis,596
Winston,595
Jackson,593
Claud,592
Lelia,591
Noreen,587
Gretchen,585
Vernell,583
Zelda,581
Monica,574
Marylou,573
Pasquale,573
Jeff,571
Allene,569
Winfred,567
Booker,566
Carrol,564
Alphonse,564
Harris,558
Phil,558
Linwood,555
Solomon,554
Jess,554
Gussie,550
Cyril,549
Rae,547
Francisca,546
Oma,544
Herschel,544
Delmer,544
Ward,544
Manuela,543
Ernesto,543
Roman,542
Al,540
Birdie,539
Fernando,537
Claudine,535
Hal,533
Sonia,532
Odis,532
Eli,532
Juana,527
Rosalyn,526
Emery,525
Leta,523
Bud,522
Ione,521
Silas,521
Adelaide,517
